# Data source: 'C:\Sciebo_files\eegFloss_v1.0\0.eegFloss_v1.0_beta\sample_data\Zmax\sub01'.
# EEG signals' sampling rate: 256 Hz and (checked) duration: 484.5 minutes.
# EEG data usability was assessed by eegFloss v1.0 (GitHub.com/Niloy333/eegFloss)
# using eegUsability model: 'default (v1.0)' in 10-second epochs at 2025-07-06 15:51:50.
# Sleep scores were imported from 'DreamentoScorer.txt'; scoring was performed in 30-second epochs.
# This file contains aggregated sleep and usability scores based on the majority rule.
# Class labels: -1 = Unusable Data; 0-4 = W; N1; N2; N3; REM; 9 = placeholder; (or check 'DreamentoScorer.txt').
# <<<e>>><<<n>>><<<d>>><<<o>>><<<f>>><<<h>>><<<e>>><<<a>>><<<d>>><<<e>>><<<r>>>
Sleep_scores,Start_time_sec,End_time_sec
-1,13680.00390625,13710.0
-1,13710.00390625,13740.0
-1,13740.00390625,13770.0
-1,13770.00390625,13800.0
-1,13800.00390625,13830.0
-1,13830.00390625,13860.0
-1,13860.00390625,13890.0
-1,13890.00390625,13920.0
-1,13920.00390625,13950.0
-1,13950.00390625,13980.0
-1,13980.00390625,14010.0
-1,14010.00390625,14040.0
-1,14040.00390625,14070.0
0,14070.00390625,14100.0
-1,14100.00390625,14130.0
0,14130.00390625,14160.0
0,14160.00390625,14190.0
0,14190.00390625,14220.0
0,14220.00390625,14250.0
0,14250.00390625,14280.0
0,14280.00390625,14310.0
0,14310.00390625,14340.0
0,14340.00390625,14370.0
0,14370.00390625,14400.0
0,14400.00390625,14430.0
0,14430.00390625,14460.0
0,14460.00390625,14490.0
0,14490.00390625,14520.0
-1,14520.00390625,14550.0
0,14550.00390625,14580.0
0,14580.00390625,14610.0
-1,14610.00390625,14640.0
-1,14640.00390625,14670.0
-1,14670.00390625,14700.0
0,14700.00390625,14730.0
-1,14730.00390625,14760.0
-1,14760.00390625,14790.0
-1,14790.00390625,14820.0
-1,14820.00390625,14850.0
-1,14850.00390625,14880.0
-1,14880.00390625,14910.0
-1,14910.00390625,14940.0
-1,14940.00390625,14970.0
-1,14970.00390625,15000.0
-1,15000.00390625,15030.0
-1,15030.00390625,15060.0
-1,15060.00390625,15090.0
-1,15090.00390625,15120.0
-1,15120.00390625,15150.0
-1,15150.00390625,15180.0
-1,15180.00390625,15210.0
-1,15210.00390625,15240.0
-1,15240.00390625,15270.0
-1,15270.00390625,15300.0
-1,15300.00390625,15330.0
-1,15330.00390625,15360.0
-1,15360.00390625,15390.0
-1,15390.00390625,15420.0
-1,15420.00390625,15450.0
-1,15450.00390625,15480.0
0,15480.00390625,15510.0
